code,description,category,subcategory,version,effectiveDate,terminationDate,billable,requiresAuth,gender,ageRange,notes
E11.9,"Type 2 diabetes mellitus without complications","Endocrine, Nutritional and Metabolic Diseases","Diabetes Mellitus",2024,2024-10-01,,true,false,both,,"Common diagnosis for Type 2 diabetes"
I10,"Essential (primary) hypertension","Diseases of the Circulatory System","Hypertensive Diseases",2024,2024-10-01,,true,false,both,,"Primary hypertension diagnosis"
E11.65,"Type 2 diabetes mellitus with hyperglycemia","Endocrine, Nutritional and Metabolic Diseases","Diabetes Mellitus",2024,2024-10-01,,true,false,both,,"Diabetes with elevated blood sugar"
I50.9,"Heart failure, unspecified","Diseases of the Circulatory System","Heart Failure",2024,2024-10-01,,true,false,both,,"Unspecified heart failure"
J44.0,"Chronic obstructive pulmonary disease with acute lower respiratory infection","Diseases of the Respiratory System","COPD",2024,2024-10-01,,true,false,both,,"COPD with infection"
N18.3,"Chronic kidney disease, stage 3 (moderate)","Diseases of the Genitourinary System","Kidney Disease",2024,2024-10-01,,true,false,both,,"CKD Stage 3"
99213,"Office or other outpatient visit, established patient, 20-29 minutes","Evaluation and Management","Office Visits",2024,2024-01-01,,true,false,both,,"Standard office visit"
99214,"Office or other outpatient visit, established patient, 30-39 minutes","Evaluation and Management","Office Visits",2024,2024-01-01,,true,false,both,,"Extended office visit"
99215,"Office or other outpatient visit, established patient, 40-54 minutes","Evaluation and Management","Office Visits",2024,2024-01-01,,true,false,both,,"Complex office visit"
99203,"Office or other outpatient visit, new patient, 30-44 minutes","Evaluation and Management","Office Visits",2024,2024-01-01,,true,false,both,,"New patient moderate complexity"
99204,"Office or other outpatient visit, new patient, 45-59 minutes","Evaluation and Management","Office Visits",2024,2024-01-01,,true,false,both,,"New patient high complexity"
93000,"Electrocardiogram, routine ECG with at least 12 leads, with interpretation and report","Medicine","Cardiovascular",2024,2024-01-01,,true,true,both,,"Standard ECG"
80053,"Comprehensive metabolic panel","Pathology and Laboratory","Chemistry",2024,2024-01-01,,true,false,both,,"CMP blood test"
85025,"Complete blood count (CBC), with differential","Pathology and Laboratory","Hematology",2024,2024-01-01,,true,false,both,,"CBC with diff"
J0696,"Injection, ceftriaxone sodium, per 250 mg","Drugs Administered Other Than Oral Method","Antibiotics",2024,2024-01-01,,true,false,both,,"IV antibiotic"
J1885,"Injection, ketorolac tromethamine, per 15 mg","Drugs Administered Other Than Oral Method","Pain Management",2024,2024-01-01,,true,false,both,,"Pain medication injection"
A0428,"Ambulance service, basic life support, non-emergency transport (BLS)","Ambulance Services","Ground Transport",2024,2024-01-01,,true,true,both,,"Non-emergency ambulance"
G0463,"Hospital outpatient clinic visit for assessment and management of a patient","Temporary Procedures/Services","Outpatient Services",2024,2024-01-01,,true,false,both,,"Hospital clinic visit"
